MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
23,06/05/2022,06/11/2022,60624,1,2022-23-60624,POINT (-87.722735 41.879417)
11,03/13/2022,03/19/2022,60617,1,2022-11-60617,POINT (-87.556897 41.721257)
18,05/01/2022,05/07/2022,60608,5,2022-18-60608,POINT (-87.670366 41.849879)
20,05/16/2021,05/22/2021,60649,2,2021-20-60649,POINT (-87.571522 41.762202)
52,12/25/2022,12/31/2022,60605,1,2022-52-60605,POINT (-87.623449 41.867824)
40,10/01/2023,10/07/2023,60618,3,2023-40-60618,POINT (-87.703343 41.946699)
41,10/09/2022,10/15/2022,60666,1,2022-41-60666,POINT (-87.896371 41.979511)
2,01/05/2020,01/11/2020,60622,10,2020-02-60622,POINT (-87.681818 41.902762)
17,04/24/2022,04/30/2022,60624,8,2022-17-60624,POINT (-87.722735 41.879417)
47,11/17/2019,11/23/2019,60605,7,2019-47-60605,POINT (-87.623449 41.867824)
40,09/29/2019,10/05/2019,60639,4,2019-40-60639,POINT (-87.75531 41.920609)
4,01/19/2020,01/25/2020,60642,2,2020-04-60642,POINT (-87.657821 41.899935)
5,01/31/2021,02/06/2021,60611,1,2021-05-60611,POINT (-87.620291 41.894734)
20,05/16/2021,05/22/2021,60646,1,2021-20-60646,POINT (-87.761826 41.993931)
5,01/28/2024,02/03/2024,60653,5,2024-05-60653,POINT (-87.611244 41.819261)
33,08/13/2023,08/19/2023,60631,8,2023-33-60631,POINT (-87.813371 41.995019)
51,12/17/2023,12/23/2023,60629,10,2023-51-60629,POINT (-87.711565 41.777061)
29,07/17/2022,07/23/2022,60608,1,2022-29-60608,POINT (-87.670366 41.849879)
53,12/27/2020,01/02/2021,60657,1,2021-53-60657,POINT (-87.658216 41.939715)
26,06/27/2021,07/03/2021,60657,1,2021-26-60657,POINT (-87.658216 41.939715)
4,01/19/2020,01/25/2020,60623,10,2020-04-60623,POINT (-87.717446 41.850321)
39,09/26/2021,10/02/2021,60640,1,2021-39-60640,POINT (-87.662232 41.971888)
7,02/11/2024,02/17/2024,60637,9,2024-07-60637,POINT (-87.604053 41.780991)
17,04/25/2021,05/01/2021,60652,1,2021-17-60652,POINT (-87.714238 41.745398)
42,10/13/2019,10/19/2019,60657,1,2019-42-60657,POINT (-87.658216 41.939715)
2,01/05/2020,01/11/2020,60624,10,2020-02-60624,POINT (-87.722735 41.879417)
44,10/27/2019,11/02/2019,60632,4,2019-44-60632,POINT (-87.711251 41.810038)
18,04/30/2023,05/06/2023,60616,8,2023-18-60616,POINT (-87.629531 41.844869)
36,09/05/2021,09/11/2021,60633,3,2021-36-60633,POINT (-87.556037 41.653147)
25,06/19/2022,06/25/2022,60655,1,2022-25-60655,POINT (-87.701434 41.696456)
51,12/13/2020,12/19/2020,60647,1,2020-51-60647,POINT (-87.701101 41.921058)
50,12/11/2022,12/17/2022,60618,7,2022-50-60618,POINT (-87.703343 41.946699)
33,08/14/2022,08/20/2022,60610,1,2022-33-60610,POINT (-87.63581 41.90455)
23,06/05/2022,06/11/2022,60611,1,2022-23-60611,POINT (-87.620291 41.894734)
43,10/24/2021,10/30/2021,60614,1,2021-43-60614,POINT (-87.652064 41.922605)
42,10/13/2019,10/19/2019,60632,7,2019-42-60632,POINT (-87.711251 41.810038)
9,02/23/2020,02/29/2020,60612,7,2020-09-60612,POINT (-87.687011 41.88004)
15,04/11/2021,04/17/2021,60633,3,2021-15-60633,POINT (-87.556037 41.653147)
17,04/23/2023,04/29/2023,60656,2,2023-17-60656,POINT (-87.817934 41.974566)
47,11/19/2023,11/25/2023,60620,6,2023-47-60620,POINT (-87.651656 41.740873)
7,02/11/2024,02/17/2024,60643,4,2024-07-60643,POINT (-87.662381 41.700445)
13,03/27/2022,04/02/2022,60611,1,2022-13-60611,POINT (-87.620291 41.894734)
45,11/01/2020,11/07/2020,60638,5,2020-45-60638,POINT (-87.771902 41.787032)
24,06/12/2022,06/18/2022,60656,1,2022-24-60656,POINT (-87.817934 41.974566)
43,10/23/2022,10/29/2022,60643,1,2022-43-60643,POINT (-87.662381 41.700445)
16,04/16/2023,04/22/2023,60653,8,2023-16-60653,POINT (-87.611244 41.819261)
36,09/04/2022,09/10/2022,60652,3,2022-36-60652,POINT (-87.714238 41.745398)
40,09/29/2019,10/05/2019,60632,5,2019-40-60632,POINT (-87.711251 41.810038)
48,11/26/2023,12/02/2023,60611,1,2023-48-60611,POINT (-87.620291 41.894734)
45,11/06/2022,11/12/2022,60601,1,2022-45-60601,POINT (-87.622844 41.886262)
32,08/07/2022,08/13/2022,60630,1,2022-32-60630,POINT (-87.759611 41.971261)
20,05/14/2023,05/20/2023,60827,4,2023-20-60827,POINT (-87.633087 41.650765)
9,02/26/2023,03/04/2023,60608,4,2023-09-60608,POINT (-87.670366 41.849879)
32,08/08/2021,08/14/2021,60647,1,2021-32-60647,POINT (-87.701101 41.921058)
31,07/30/2023,08/05/2023,60646,10,2023-31-60646,POINT (-87.761826 41.993931)
20,05/16/2021,05/22/2021,60626,1,2021-20-60626,POINT (-87.669834 42.009469)
6,02/06/2022,02/12/2022,60631,1,2022-06-60631,POINT (-87.813371 41.995019)
51,12/18/2022,12/24/2022,60625,9,2022-51-60625,POINT (-87.701816 41.971155)
21,05/21/2023,05/27/2023,60614,4,2023-21-60614,POINT (-87.652064 41.922605)
14,03/29/2020,04/04/2020,60641,10,2020-14-60641,POINT (-87.746791 41.946682)
2,01/08/2023,01/14/2023,60631,1,2023-02-60631,POINT (-87.813371 41.995019)
48,11/28/2021,12/04/2021,60605,2,2021-48-60605,POINT (-87.623449 41.867824)
20,05/16/2021,05/22/2021,60613,1,2021-20-60613,POINT (-87.661343 41.953742)
3,01/16/2022,01/22/2022,60641,1,2022-03-60641,POINT (-87.746791 41.946682)
10,03/06/2022,03/12/2022,60638,2,2022-10-60638,POINT (-87.771902 41.787032)
25,06/19/2022,06/25/2022,60623,3,2022-25-60623,POINT (-87.717446 41.850321)
40,09/29/2019,10/05/2019,60656,10,2019-40-60656,POINT (-87.817934 41.974566)
43,10/24/2021,10/30/2021,60653,9,2021-43-60653,POINT (-87.611244 41.819261)
35,08/28/2022,09/03/2022,60618,1,2022-35-60618,POINT (-87.703343 41.946699)
26,06/25/2023,07/01/2023,60640,1,2023-26-60640,POINT (-87.662232 41.971888)
16,04/12/2020,04/18/2020,60602,1,2020-16-60602,POINT (-87.628309 41.883136)
25,06/19/2022,06/25/2022,60642,1,2022-25-60642,POINT (-87.657821 41.899935)
22,05/30/2021,06/05/2021,60612,1,2021-22-60612,POINT (-87.687011 41.88004)
2,01/05/2020,01/11/2020,60607,10,2020-02-60607,POINT (-87.652727 41.876104)
50,12/10/2023,12/16/2023,60640,7,2023-50-60640,POINT (-87.662232 41.971888)
9,02/28/2021,03/06/2021,60646,1,2021-09-60646,POINT (-87.761826 41.993931)
48,11/28/2021,12/04/2021,60619,2,2021-48-60619,POINT (-87.60569 41.744737)
28,07/09/2023,07/15/2023,60625,1,2023-28-60625,POINT (-87.701816 41.971155)
7,02/12/2023,02/18/2023,60649,2,2023-07-60649,POINT (-87.571522 41.762202)
2,01/07/2024,01/13/2024,60645,6,2024-02-60645,POINT (-87.695049 42.008927)
34,08/22/2021,08/28/2021,60641,2,2021-34-60641,POINT (-87.746791 41.946682)
4,01/21/2024,01/27/2024,60631,1,2024-04-60631,POINT (-87.813371 41.995019)
5,01/30/2022,02/05/2022,60606,1,2022-05-60606,POINT (-87.63676 41.882634)
2,01/07/2024,01/13/2024,60607,10,2024-02-60607,POINT (-87.652727 41.876104)
48,11/26/2023,12/02/2023,60639,8,2023-48-60639,POINT (-87.75531 41.920609)
50,12/06/2020,12/12/2020,60631,1,2020-50-60631,POINT (-87.813371 41.995019)
7,02/14/2021,02/20/2021,60633,1,2021-07-60633,POINT (-87.556037 41.653147)
46,11/14/2021,11/20/2021,60649,5,2021-46-60649,POINT (-87.571522 41.762202)
11,03/14/2021,03/20/2021,60619,1,2021-11-60619,POINT (-87.60569 41.744737)
15,04/05/2020,04/11/2020,60629,10,2020-15-60629,POINT (-87.711565 41.777061)
29,07/17/2022,07/23/2022,60630,2,2022-29-60630,POINT (-87.759611 41.971261)
19,05/09/2021,05/15/2021,60631,1,2021-19-60631,POINT (-87.813371 41.995019)
45,11/07/2021,11/13/2021,60617,5,2021-45-60617,POINT (-87.556897 41.721257)
13,03/28/2021,04/03/2021,60628,1,2021-13-60628,POINT (-87.621537 41.694192)
11,03/08/2020,03/14/2020,60651,10,2020-11-60651,POINT (-87.741017 41.901964)
51,12/13/2020,12/19/2020,60622,3,2020-51-60622,POINT (-87.681818 41.902762)
33,08/14/2022,08/20/2022,60644,1,2022-33-60644,POINT (-87.756863 41.881113)
12,03/19/2023,03/25/2023,60601,1,2023-12-60601,POINT (-87.622844 41.886262)
21,05/22/2022,05/28/2022,60617,4,2022-21-60617,POINT (-87.556897 41.721257)
52,12/25/2022,12/31/2022,60631,9,2022-52-60631,POINT (-87.813371 41.995019)
40,10/03/2021,10/09/2021,60620,1,2021-40-60620,POINT (-87.651656 41.740873)
46,11/10/2019,11/16/2019,60707,1,2019-46-60707,POINT (-87.808283 41.921777)
31,08/01/2021,08/07/2021,60608,1,2021-31-60608,POINT (-87.670366 41.849879)
48,11/26/2023,12/02/2023,60660,8,2023-48-60660,POINT (-87.666362 41.991062)
8,02/20/2022,02/26/2022,60644,2,2022-08-60644,POINT (-87.756863 41.881113)
36,09/05/2021,09/11/2021,60628,3,2021-36-60628,POINT (-87.621537 41.694192)
14,04/04/2021,04/10/2021,60646,1,2021-14-60646,POINT (-87.761826 41.993931)
52,12/24/2023,12/30/2023,60657,6,2023-52-60657,POINT (-87.658216 41.939715)
34,08/21/2022,08/27/2022,60626,1,2022-34-60626,POINT (-87.669834 42.009469)
20,05/10/2020,05/16/2020,60622,1,2020-20-60622,POINT (-87.681818 41.902762)
2,01/10/2021,01/16/2021,60630,1,2021-02-60630,POINT (-87.759611 41.971261)
2,01/08/2023,01/14/2023,60636,1,2023-02-60636,POINT (-87.668597 41.77599)
12,03/20/2022,03/26/2022,60827,1,2022-12-60827,POINT (-87.633087 41.650765)
5,01/28/2024,02/03/2024,60624,8,2024-05-60624,POINT (-87.722735 41.879417)
23,06/05/2022,06/11/2022,60645,4,2022-23-60645,POINT (-87.695049 42.008927)
2,01/05/2020,01/11/2020,60645,10,2020-02-60645,POINT (-87.695049 42.008927)
43,10/20/2019,10/26/2019,60617,10,2019-43-60617,POINT (-87.556897 41.721257)
41,10/04/2020,10/10/2020,60638,1,2020-41-60638,POINT (-87.771902 41.787032)
