MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
43,2023-10-22,10/28/2023,60666,10,2023-43-60666,POINT (-87.896371 41.979511)
44,2023-10-29,11/04/2023,60666,10,2023-44-60666,POINT (-87.896371 41.979511)
45,2023-11-05,11/11/2023,60666,10,2023-45-60666,POINT (-87.896371 41.979511)
46,2023-11-12,11/18/2023,60666,1,2023-46-60666,POINT (-87.896371 41.979511)
47,2023-11-19,11/25/2023,60666,10,2023-47-60666,POINT (-87.896371 41.979511)
48,2023-11-26,12/02/2023,60666,1,2023-48-60666,POINT (-87.896371 41.979511)
49,2023-12-03,12/09/2023,60666,1,2023-49-60666,POINT (-87.896371 41.979511)
50,2023-12-10,12/16/2023,60666,1,2023-50-60666,POINT (-87.896371 41.979511)
51,2023-12-17,12/23/2023,60666,1,2023-51-60666,POINT (-87.896371 41.979511)
52,2023-12-24,12/30/2023,60666,1,2023-52-60666,POINT (-87.896371 41.979511)
1,2023-12-31,01/06/2024,60666,10,2024-01-60666,POINT (-87.896371 41.979511)
2,2024-01-07,01/13/2024,60666,10,2024-02-60666,POINT (-87.896371 41.979511)
3,2024-01-14,01/20/2024,60666,10,2024-03-60666,POINT (-87.896371 41.979511)
4,2024-01-21,01/27/2024,60666,1,2024-04-60666,POINT (-87.896371 41.979511)
5,2024-01-28,02/03/2024,60666,1,2024-05-60666,POINT (-87.896371 41.979511)
6,2024-02-04,02/10/2024,60666,1,2024-06-60666,POINT (-87.896371 41.979511)
7,2024-02-11,02/17/2024,60666,1,2024-07-60666,POINT (-87.896371 41.979511)
8,2024-02-18,02/24/2024,60666,1,2024-08-60666,POINT (-87.896371 41.979511)
9,2024-02-25,03/02/2024,60666,1,2024-09-60666,POINT (-87.896371 41.979511)
10,2024-03-03,03/09/2024,60666,1,2024-10-60666,POINT (-87.896371 41.979511)
11,2024-03-10,03/16/2024,60666,1,2024-11-60666,POINT (-87.896371 41.979511)
12,2024-03-17,03/23/2024,60666,1,2024-12-60666,POINT (-87.896371 41.979511)
13,2024-03-24,03/30/2024,60666,1,2024-13-60666,POINT (-87.896371 41.979511)
14,2024-03-31,04/06/2024,60666,10,2024-14-60666,POINT (-87.896371 41.979511)
15,2024-04-07,04/13/2024,60666,1,2024-15-60666,POINT (-87.896371 41.979511)
16,2024-04-14,04/20/2024,60666,1,2024-16-60666,POINT (-87.896371 41.979511)
17,2024-04-21,04/27/2024,60666,1,2024-17-60666,POINT (-87.896371 41.979511)
18,2024-04-28,05/04/2024,60666,1,2024-18-60666,POINT (-87.896371 41.979511)
19,2024-05-05,05/11/2024,60666,1,2024-19-60666,POINT (-87.896371 41.979511)
20,2024-05-12,05/18/2024,60666,1,2024-20-60666,POINT (-87.896371 41.979511)
21,2024-05-19,05/25/2024,60666,1,2024-21-60666,POINT (-87.896371 41.979511)
22,2024-05-26,06/01/2024,60666,1,2024-22-60666,POINT (-87.896371 41.979511)
23,2024-06-02,06/08/2024,60666,1,2024-23-60666,POINT (-87.896371 41.979511)
24,2024-06-09,06/15/2024,60666,1,2024-24-60666,POINT (-87.896371 41.979511)
25,2024-06-16,06/22/2024,60666,1,2024-25-60666,POINT (-87.896371 41.979511)
26,2024-06-23,06/29/2024,60666,1,2024-26-60666,POINT (-87.896371 41.979511)
27,2024-06-30,07/06/2024,60666,1,2024-27-60666,POINT (-87.896371 41.979511)
28,2024-07-07,07/13/2024,60666,1,2024-28-60666,POINT (-87.896371 41.979511)
29,2024-07-14,07/20/2024,60666,1,2024-29-60666,POINT (-87.896371 41.979511)
30,2024-07-21,07/27/2024,60666,1,2024-30-60666,POINT (-87.896371 41.979511)
31,2024-07-28,08/03/2024,60666,1,2024-31-60666,POINT (-87.896371 41.979511)
32,2024-08-04,08/10/2024,60666,1,2024-32-60666,POINT (-87.896371 41.979511)
33,2024-08-11,08/17/2024,60666,1,2024-33-60666,POINT (-87.896371 41.979511)
34,2024-08-18,08/24/2024,60666,1,2024-34-60666,POINT (-87.896371 41.979511)
35,2024-08-25,08/31/2024,60666,1,2024-35-60666,POINT (-87.896371 41.979511)
36,2024-09-01,09/07/2024,60666,1,2024-36-60666,POINT (-87.896371 41.979511)
37,2024-09-08,09/14/2024,60666,1,2024-37-60666,POINT (-87.896371 41.979511)
38,2024-09-15,09/21/2024,60666,1,2024-38-60666,POINT (-87.896371 41.979511)
39,2024-09-22,09/28/2024,60666,1,2024-39-60666,POINT (-87.896371 41.979511)
40,2024-09-29,10/05/2024,60666,1,2024-40-60666,POINT (-87.896371 41.979511)
41,2024-10-06,10/12/2024,60666,1,2024-41-60666,POINT (-87.896371 41.979511)
42,2024-10-13,10/19/2024,60666,1,2024-42-60666,POINT (-87.896371 41.979511)
43,2024-10-20,10/26/2024,60666,1,2024-43-60666,POINT (-87.896371 41.979511)
44,2024-10-27,11/02/2024,60666,1,2024-44-60666,POINT (-87.896371 41.979511)
45,2024-11-03,11/09/2024,60666,1,2024-45-60666,POINT (-87.896371 41.979511)
46,2024-11-10,11/16/2024,60666,1,2024-46-60666,POINT (-87.896371 41.979511)
47,2024-11-17,11/23/2024,60666,10,2024-47-60666,POINT (-87.896371 41.979511)
48,2024-11-24,11/30/2024,60666,1,2024-48-60666,POINT (-87.896371 41.979511)
49,2024-12-01,12/07/2024,60666,1,2024-49-60666,POINT (-87.896371 41.979511)
50,2024-12-08,12/14/2024,60666,1,2024-50-60666,POINT (-87.896371 41.979511)
51,2024-12-15,12/21/2024,60666,1,2024-51-60666,POINT (-87.896371 41.979511)
52,2024-12-22,12/28/2024,60666,1,2024-52-60666,POINT (-87.896371 41.979511)
1,2024-12-29,01/04/2025,60666,1,2025-01-60666,POINT (-87.896371 41.979511)
2,2025-01-05,01/11/2025,60666,1,2025-02-60666,POINT (-87.896371 41.979511)
3,2025-01-12,01/18/2025,60666,1,2025-03-60666,POINT (-87.896371 41.979511)
4,2025-01-19,01/25/2025,60666,1,2025-04-60666,POINT (-87.896371 41.979511)
5,2025-01-26,02/01/2025,60666,1,2025-05-60666,POINT (-87.896371 41.979511)
6,2025-02-02,02/08/2025,60666,1,2025-06-60666,POINT (-87.896371 41.979511)
7,2025-02-09,02/15/2025,60666,1,2025-07-60666,POINT (-87.896371 41.979511)
8,2025-02-16,02/22/2025,60666,10,2025-08-60666,POINT (-87.896371 41.979511)
